Hospital Code,Hospital Name,Hospital Address,City,State,,
MA/AHM/CITY1108,City Care Trust Hospital,"Viraj Estate , Opp Tarak Pur Bus Stand ,",Ahmednagar,Maharashtra,,
MA/NAG/APUL1158,Apulki Vairagade Hospital,"150, Manewada Cement Road,Apposite Nav",Nagpur,Maharashtra,,
PU/BAT/IVY 01,Ivy Hospital,Mansa Road,Bathinda,Punjab,,
UT/MEE/AGRA01,Agrawal Eye Hospital,"61, Shivaji Road, Near Nas College",Meerut,Uttar Pradesh,,
UT/MEE/ANAN01,Anand Hospital,"A-1, Damodar Colony, Garh Road",Meerut,Uttar Pradesh,,
UT/ALL/ASHU1979,Ashutosh Hospital And Trauma,15/20 Hashimpur Road (Opp.Kamla Nehru,Allahabad,Uttar Pradesh,,
UT/ALL/DAYA01,Dayal Nursing Home And Maternity,"Plot No. A-1 H.I.G, Neem Sarai, Mundera",Allahabad,Uttar Pradesh,,
UT/ALL/KANH2345,Kanha Medical Center,"717K/1, Chak Raghunath, Mewalal Ki Bagiya (In",Allahabad,Uttar Pradesh,,
UT/MEE/MIMH1811,Mimhans Neurosiences Hospital,"281, 283 Sector 1, Mangal Pandey Nagar, Opp.",Meerut,Uttar Pradesh,,
PU/PAT/LIFE01,Lifeline Superspeciality Hospital,Ambala Chandigarh Highway Nh22 Plot No 234,Zirakpur,Punjab,,
HI/KAN/CITY01,City Hospital,Matour Palampur Road Opp Sant Hyundai,Kangra,Himachal Pradesh,,
PU/AMR/PREE04,Preet Hospital,"Fatehgarh Churian Road, Near Rattan Singh",Amritsar,Punjab,,
MA/NAS/SYNE9083,Synergy Hospital And Research,"Waghulde Plaza, Geeta Nagar Bus Stop, Dindori",Nashik,Maharashtra,,
UT/ALL/JAHA01,Jahangeer Memorial Charitable,8/1 Jahangir Chauraha (Arail Crossing),Allahabad,Uttar Pradesh,,
DE/WES/KONA02,Konarc Hospital,"9A/1, Naresh Park, Near Water Tank Main",New Delhi,Delhi,,
